"playerID","yearID","ballots","needed","votes","avg(Batting.G)","avg(Batting.AB)","avg(Batting.R)","avg(Batting.H)","avg(Batting.2b)","avg(Batting.3B)","avg(Batting.HR)","avg(Batting.RBI)","avg(Batting.SB)","avg(Batting.CS)","avg(Batting.BB)","avg(Batting.SO)","avg(Batting.IBB)","avg(Batting.HBP)","avg(Batting.SH)","avg(Batting.SF)","avg(Batting.GIDP)","inducted"
"aaronha01",1982,415,312,406,143.3913,537.5652,94.5217,163.9565,27.1304,4.2609,32.8261,99.8696,10.4348,3.1739,60.9565,60.1304,12.73913043478261,1.391304347826087,0.9130434782608695,5.260869565217392,14.26086956521739,"Y"
"abbotji01",2005,516,387,13,23.9091,1.9091,0.0000,0.1818,0.0000,0.0000,0.0000,0.2727,0.0000,0.0000,0.0000,0.9091,0,0,0.2727272727272727,0,0.09090909090909091,"N"
"adamsba01",1937,201,151,8,25.3684,53.6316,4.1579,11.3684,1.6316,0.7895,0.1579,3.9474,0.0526,0.0526,2.7895,9.3158,0,0.05263157894736842,1.8421052631578947,0,0,"N"
"adamsba01",1938,262,197,11,25.3684,53.6316,4.1579,11.3684,1.6316,0.7895,0.1579,3.9474,0.0526,0.0526,2.7895,9.3158,0,0.05263157894736842,1.8421052631578947,0,0,"N"
"adamsba01",1939,274,206,11,25.3684,53.6316,4.1579,11.3684,1.6316,0.7895,0.1579,3.9474,0.0526,0.0526,2.7895,9.3158,0,0.05263157894736842,1.8421052631578947,0,0,"N"
"adamsba01",1942,233,175,11,25.3684,53.6316,4.1579,11.3684,1.6316,0.7895,0.1579,3.9474,0.0526,0.0526,2.7895,9.3158,0,0.05263157894736842,1.8421052631578947,0,0,"N"
"adamsba01",1945,247,186,7,25.3684,53.6316,4.1579,11.3684,1.6316,0.7895,0.1579,3.9474,0.0526,0.0526,2.7895,9.3158,0,0.05263157894736842,1.8421052631578947,0,0,"N"
"adamsba01",1946,202,0,6,25.3684,53.6316,4.1579,11.3684,1.6316,0.7895,0.1579,3.9474,0.0526,0.0526,2.7895,9.3158,0,0.05263157894736842,1.8421052631578947,0,0,"N"
"adamsba01",1947,161,121,22,25.3684,53.6316,4.1579,11.3684,1.6316,0.7895,0.1579,3.9474,0.0526,0.0526,2.7895,9.3158,0,0.05263157894736842,1.8421052631578947,0,0,"N"
"adamsba01",1948,121,91,4,25.3684,53.6316,4.1579,11.3684,1.6316,0.7895,0.1579,3.9474,0.0526,0.0526,2.7895,9.3158,0,0.05263157894736842,1.8421052631578947,0,0,"N"
"adamsba01",1949,153,115,5,25.3684,53.6316,4.1579,11.3684,1.6316,0.7895,0.1579,3.9474,0.0526,0.0526,2.7895,9.3158,0,0.05263157894736842,1.8421052631578947,0,0,"N"
"adamsba01",1950,168,126,6,25.3684,53.6316,4.1579,11.3684,1.6316,0.7895,0.1579,3.9474,0.0526,0.0526,2.7895,9.3158,0,0.05263157894736842,1.8421052631578947,0,0,"N"
"adamsba01",1951,226,170,12,25.3684,53.6316,4.1579,11.3684,1.6316,0.7895,0.1579,3.9474,0.0526,0.0526,2.7895,9.3158,0,0.05263157894736842,1.8421052631578947,0,0,"N"
"adamsba01",1952,234,176,9,25.3684,53.6316,4.1579,11.3684,1.6316,0.7895,0.1579,3.9474,0.0526,0.0526,2.7895,9.3158,0,0.05263157894736842,1.8421052631578947,0,0,"N"
"adamsba01",1953,264,198,17,25.3684,53.6316,4.1579,11.3684,1.6316,0.7895,0.1579,3.9474,0.0526,0.0526,2.7895,9.3158,0,0.05263157894736842,1.8421052631578947,0,0,"N"
"adamsba01",1954,252,189,13,25.3684,53.6316,4.1579,11.3684,1.6316,0.7895,0.1579,3.9474,0.0526,0.0526,2.7895,9.3158,0,0.05263157894736842,1.8421052631578947,0,0,"N"
"adamsba01",1955,251,189,24,25.3684,53.6316,4.1579,11.3684,1.6316,0.7895,0.1579,3.9474,0.0526,0.0526,2.7895,9.3158,0,0.05263157894736842,1.8421052631578947,0,0,"N"
"adamsbo03",1966,302,227,1,85.4000,267.9333,39.4000,72.1333,12.5333,3.2667,2.4667,20.2000,4.4667,2.0000,27.6000,29.8000,0.06666666666666667,1.1333333333333333,5.2,0.3333333333333333,4.133333333333334,"N"
"adamssp01",1958,266,200,1,101.7143,396.9286,60.2857,113.4286,17.7857,3.4286,0.6429,28.1429,11.0000,3.5714,32.3571,15.9286,0,2,9.714285714285714,0,1,"N"
